Objet						Début	Journéeentière	Afficherladisponibilité	Catégories	Priorité	Privé
St Ghislain						10/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Denis						09/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Pélagie						08/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Serge Gustave						07/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Bruno						06/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Fleur						05/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St François d'Assise						04/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gérard						03/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Léger						02/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Thérèse de l'Enfant Jésus						01/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jérôme						30/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Michel Gabriel						29/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Venceslas						28/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Vincent de Paul						27/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Côme Damien						26/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Hermann						25/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Thècle						24/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Constant						23/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Maurice - Automne						22/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Matthieu						21/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Davy						20/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Emilie Amélie						19/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Nadège						18/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Renaud						17/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Edith						16/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Roland						15/09/2013	VRAI	3	Ephemeride	Normale	FAUX
La Ste Croix						14/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Aimé						13/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Apollinaire						12/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Adelphe						11/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Inès						10/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Alain						09/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Adrien Adrienne - N.D. Nativité						08/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Reine Réjane						07/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Bertrand Evelyne						06/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Raïssa						05/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Rosalie Irma						04/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Grégoire						03/09/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Ingrid						02/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gilles						01/09/2013	VRAI	3	Ephemeride	Normale	FAUX
St Aristide						31/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Fiacre						30/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Sabine						29/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Augustin						28/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Monique						27/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Natacha						26/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Louis						25/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Barthélemy						24/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Rose de Lima						23/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Fabrice						22/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Christophe						21/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Bernard Philibert						20/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean-Eudes						19/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Hélène						18/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Hyacinthe						17/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Armel						16/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Marie - Assomption						15/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Evrard						14/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Hippolyte						13/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Clarisse						12/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Claire Gilberte Suzanne						11/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Laurent						10/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Amour						09/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Dominique						08/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gaétan						07/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Transfiguration						06/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Abel						05/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean-Marie Vianney						04/08/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Lydie						03/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pierre-Julien Eymard						02/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Alphonse						01/08/2013	VRAI	3	Ephemeride	Normale	FAUX
St Ignace de Loyola						31/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Juliette						30/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Marthe						29/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Samson						28/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Nathalie						27/07/2013	VRAI	3	Ephemeride	Normale	FAUX
